Date,Close,High,Low,Open,Volume
,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
2020-01-01,178.87767028808594,179.69629077653232,177.73160382491122,179.00501347360557,4766592
2020-01-02,177.38597106933594,178.89588006140124,176.98576546509145,178.7139643855622,6424966
2020-01-03,175.9124755859375,177.0949275934955,172.0376735356672,176.05800592006332,22655540
2020-01-06,170.6914520263672,174.63902384859483,169.2361268276289,172.81986735017196,15332634
2020-01-07,167.7262420654297,172.72892282117732,167.30783825923552,170.23667600584557,23454588
2020-01-08,167.32603454589844,168.9632756101504,163.1965465298571,163.7241064251945,24743076
2020-01-09,171.20083618164062,172.60158909063082,169.3453051913761,171.78296855848413,12999312
2020-01-10,171.09169006347656,172.71074399075798,169.690937163944,172.38328689750895,8708498
2020-01-13,171.27359008789062,173.27466230346874,170.63688529202486,171.36454791587144,7338838
2020-01-14,172.21958923339844,174.1842765022775,171.76479999971104,172.4196920549198,7216716
2020-01-15,170.25489807128906,172.0740549644399,168.52669902279575,171.91032640275532,9956518
2020-01-16,168.01731872558594,170.81882465754293,167.41699919823859,170.2730776139086,6370550
2020-01-17,165.14306640625,169.272554921052,164.45178898294574,168.09010289849763,11132598
2020-01-20,166.32550048828125,169.80009656480146,164.3062409242564,165.52507817514828,11681302
2020-01-21,168.76318359375,169.72733450587677,165.56146086823654,166.4892375258792,8398840
2020-01-22,165.7069854736328,169.70913014671584,165.21581095219514,169.25434097932003,7460864
2020-01-23,170.6368865966797,171.65560983655368,166.2709108202188,167.1804891069815,11131352
2020-01-24,169.58181762695312,172.16502278556717,169.07245588800535,170.72788431539894,7871260
2020-01-27,170.18212890625,171.655641561839,168.45392984199626,169.72733967881481,8828966
2020-01-28,174.9846954345703,175.45767175694823,170.1275446022968,170.67329163731063,15217662
2020-01-29,174.29342651367188,177.14950520441232,173.42023338040966,176.07620924384634,14264654
2020-01-30,170.87338256835938,176.27628006020473,169.23614157708812,174.65722619420274,10891876
2020-01-31,166.25274658203125,171.94670522034227,165.92528947111867,171.00074145123818,13892950
2020-02-03,167.47157287597656,168.63583768533147,160.97719189302666,162.35974663879003,18802900
2020-02-04,174.09329223632812,175.0392559194955,168.09007526266166,169.18156925787375,15683820
2020-02-05,182.53419494628906,184.80814091132032,173.91138740558986,174.63905011439985,30234094
2020-02-06,180.1147003173828,185.5539832884123,179.07778988160746,183.1163088705777,22467954
2020-02-07,178.78672790527344,180.31482405705222,176.8220407838807,180.02375230739096,9022030
2020-02-10,176.62193298339844,180.29662072923506,175.85788492911252,179.00502388034218,8848392
2020-02-11,175.0028839111328,179.7145044577333,174.65723967832355,178.56842679276156,7943310
2020-02-12,172.72894287109375,176.71290081305494,172.41968398600847,175.7305516729611,7549204
2020-02-13,170.6368865966797,174.09328408637788,170.27305528197462,173.80222347591405,8083000
2020-02-14,173.34744262695312,176.27628040916932,170.96434073965662,171.3645574256321,23043576
2020-02-17,167.9627227783203,174.07509547510804,167.3624033348346,174.07509547510804,9025984
2020-02-18,171.27359008789062,171.9102948837564,165.90707823702203,167.99910828058097,11940592
2020-02-19,173.01998901367188,175.00287425474025,170.8188138515604,172.27413920918818,10786834
2020-02-20,171.637451171875,174.63906001589825,171.20084908053428,172.76533065512817,8752120
2020-02-24,169.05422973632812,173.07457270114045,168.45391024659637,171.36456096360018,12382886
2020-02-25,166.17996215820312,171.20083013678925,165.50687196822025,170.92795663570845,11044046
2020-02-26,163.28750610351562,167.1986931319398,161.25005941782157,166.48922865850224,14491090
2020-02-27,161.55931091308594,163.5967687490602,159.5400513070568,162.57804538269903,12178324
2020-02-28,155.1195068359375,159.6855860886013,152.99109110057043,159.6855860886013,12199026
2020-03-02,150.02584838867188,160.75887242639865,147.89743292664198,157.17513167111767,15624380
2020-03-03,154.62831115722656,155.41054627537181,150.4442509729722,151.02638330621426,11415592
2020-03-04,152.33619689941406,155.97451054780464,147.49723308510335,153.57322131921643,15457514
2020-03-05,152.22703552246094,156.1382225581647,151.73586097639665,152.31799336050057,11450828
2020-03-06,146.6604461669922,149.11630822761686,144.80490372275838,145.6053372801153,15762914
2020-03-09,154.2099151611328,165.3249581194589,147.64275283426352,150.58978889900465,79590744
2020-03-11,147.13339233398438,154.02800069914827,145.91455511887804,154.02800069914827,29496116
2020-03-12,125.26713562011719,142.82199913438794,120.26445430776023,142.36720992417366,35196480
2020-03-13,136.81875610351562,144.33188134098992,100.21733615801186,122.90220886022563,50824080
2020-03-16,132.67108154296875,140.89367115716817,127.23181026095585,127.34095520983566,33314334
2020-03-17,129.9605712890625,140.3115672217886,128.7963064504692,132.79845156616173,19649626
2020-03-18,120.99212646484375,133.1804782476008,119.40946877267028,132.4164411975528,20417518
2020-03-19,109.24037170410156,116.42604144983346,103.83747349741971,113.1515590340569,27434876
2020-03-20,115.643798828125,117.51752809254147,108.6400452188946,110.96856367871564,20390122
2020-03-23,103.36372375488281,114.3582289993237,100.65826198170514,109.36944719733978,18697444
2020-03-24,100.86932373046875,108.60193248190627,96.70560772240418,106.5680493849207,19533962
2020-03-25,105.05223846435547,106.28025105051763,96.93587608140335,96.93587608140335,14919242
2020-03-26,108.33330535888672,109.90669265039166,103.03752655559119,105.53191732881778,12626898
2020-03-27,106.97100067138672,116.66075050798767,105.22493162293304,111.28821594511982,12155778
2020-03-30,105.43598937988281,111.09633821829325,103.22941271406178,103.22941271406178,13666176
2020-03-31,121.61114501953125,126.52318324293698,107.45068242756602,108.98569217653124,33090992
2020-04-01,116.25782012939453,121.22740778830682,112.63135445810474,119.73077543757641,25195590
2020-04-03,121.70710754394531,125.10331963706838,110.19453211722123,115.50950678146498,28641760
2020-04-07,134.73545837402344,137.8822207561959,122.6088812365573,125.48702398858916,21185186
2020-04-08,131.3584747314453,139.76266376504992,130.57178679891368,134.31337363591413,18356498
