Date,Close,High,Low,Open,Volume,Return,MA_7,MA_21,Volatility_7,Volatility_21,High_Low_Spread,Open_Close_Change
2020-01-30,6668.6787109375,6695.797979563332,6631.2052341228,6668.251073419576,579174,0.001447970688914113,6729.010393415178,6868.133603050595,66.99910981604182,163.5411850413321,64.59274544053187,-0.42763751792426774
2020-01-31,6567.08740234375,6710.046345578397,6550.036631893713,6682.49943957305,868935,-0.015234098536960117,6698.87158203125,6849.300827752976,86.01175289649024,174.52446111412962,160.00971368468436,115.41203722930004
2020-02-03,6659.98779296875,6691.856996660911,6440.277622437329,6440.277622437329,1010531,0.014146361230374938,6680.443777901785,6838.3115001860115,76.81474213677437,178.99161104814624,251.5793742235819,-219.71017053142077
2020-02-04,6838.8515625,6853.479825844819,6650.202669541175,6668.250641362527,973311,0.026856471076431188,6690.0986328125,6845.422107514881,92.73131224864505,175.7216781438463,203.277156303644,-170.60092113747305
2020-02-05,6688.103515625,6869.248350005524,6673.570333938269,6853.4800287633025,718489,-0.022042889145541422,6675.456682477678,6843.942964099702,81.64751025487783,176.96392761540412,195.67801606725516,165.37651313830247
2020-02-06,6669.77099609375,6763.572960988347,6627.215497275295,6720.495206372468,875714,-0.002741063963561663,6678.7880859375,6843.327799479167,80.73745023858905,177.57390942943732,136.3574637130523,50.72421027871769
2020-02-07,6622.4189453125,6696.748099753021,6587.510364792511,6686.299272930712,645814,-0.007099501738362934,6673.556989397322,6831.741373697917,83.37368117938483,183.8653589987586,109.23773496051035,63.880327618211595
2020-02-10,6547.51953125,6638.899453582035,6507.814176251187,6625.5058650917335,593773,-0.011309978224122386,6656.24853515625,6811.947381882441,96.15230056045588,191.23336419530344,131.08527733084793,77.98633384173354
2020-02-11,6681.31201171875,6733.793616644637,6565.947284685944,6601.7584476908205,743160,0.020434071228071282,6672.566336495535,6797.520321800595,87.83143437627335,188.99735775142958,167.84633195869264,-79.5535640279295
2020-02-12,6690.38330078125,6753.741369478057,6656.804943646112,6702.542213321965,599364,0.0013577107380391418,6676.908551897322,6781.982793898809,87.85727612108211,183.40957806495535,96.93642583194469,12.158912540715392
2020-02-13,6654.05029296875,6702.4475451651715,6578.011515060773,6696.748185007718,723169,-0.005430631726026425,6650.508370535715,6760.365908668155,51.20478508108698,169.2697114940072,124.43603010439892,42.69789203896835
2020-02-14,6567.37255859375,6733.746752454226,6555.214109053014,6649.300861289856,614859,-0.01302631187903569,6633.261090959822,6735.539783296131,56.49110227104167,156.44981296496914,178.53264340121223,81.92830269610567
2020-02-17,6560.67578125,6630.255467929924,6535.266134578492,6573.261867919065,463548,-0.001019704194333726,6617.676060267857,6707.793852306548,59.69766823458498,129.93083559770272,94.98933335143192,12.58608666906457
2020-02-18,6441.32177734375,6582.760801956092,6398.291331041901,6578.011335288014,830678,-0.01819233382136587,6591.805036272322,6677.555571056548,89.2338113469005,112.61231507552483,184.46947091419133,136.68955794426438
2020-02-19,6418.04931640625,6511.471417449368,6292.663397819844,6506.769259976338,1033939,-0.0036129946215941455,6573.309291294643,6652.856073288691,110.76343761977941,109.76950099521238,218.8080196295241,88.71994357008771
2020-02-20,6418.99951171875,6466.446407126972,6383.283428344749,6422.229056404591,682513,0.00014805048475885485,6535.836077008928,6635.757998511905,112.49330543898715,117.01725034868979,83.16297878222304,3.229544685840665
2020-02-24,6146.18994140625,6373.784484618544,6117.123111649288,6373.784484618544,1091346,-0.042500325761740454,6458.094168526785,6605.148832775298,164.09402735666634,153.35979829109306,256.66137296925626,227.5945432122944
2020-02-25,6093.138671875,6183.806184639748,6057.042721795689,6179.436582130275,964897,-0.00863157013320548,6377.963936941965,6572.856980096726,187.70936427447162,184.80333914848168,126.76346284405827,86.29791025527538
2020-02-26,5922.4423828125,6049.728086055823,5876.087311103489,6031.822504441038,1580738,-0.028014509147872846,6285.8310546875,6531.516276041667,232.24047055830036,226.13974795547335,173.64077495233414,109.38012162853829
2020-02-27,5974.63916015625,6020.471515466303,5857.802275117151,5917.835721899063,1492657,0.00881338710786439,6202.111537388393,6499.525227864583,222.0555056196568,254.77380493205135,162.66924034915155,-56.803438257186826
2020-02-28,5968.27490234375,6048.303415769794,5797.389184242138,5854.239929255915,1468843,-0.0010652120809139243,6134.533412388393,6466.6318126860115,208.70325728008356,276.7901141102107,250.91423152765583,-114.03497308783517
2020-03-02,5970.22216796875,6116.885610213958,5936.833509076726,6080.220097513995,1219764,0.0003262694257322174,6070.55810546875,6433.371977306548,172.87246529321894,292.7989397196723,180.05210113723206,109.99792954524492
2020-03-03,6066.06591796875,6100.357158833672,5965.804865761934,6001.425864482748,849199,0.016053632059828127,6020.139020647322,6409.513811383928,81.7756207545739,301.6376016553349,134.55229307173795,-64.64005348600222
2020-03-04,6064.451171875,6102.114347148166,5897.887294745168,6069.8179760704825,904360,-0.00026619329819133064,6008.462053571428,6381.154924665178,64.86368282840792,304.8890871126004,204.2270524029982,5.366804195482473
2020-03-05,6046.97314453125,6140.109992539961,6013.014460708028,6090.620461254155,645853,-0.0028820460167620077,6001.866978236607,6343.446428571428,56.64552557979741,294.2344145799888,127.09553183193293,43.64731672290509
2020-03-06,6122.96533203125,6155.309015638301,5794.491927568147,5885.919164104441,1140899,0.012566979492661723,6030.513113839285,6316.535086495535,60.366423818749205,286.88783468117276,360.81708807015457,-237.04616792680918
2020-03-09,5890.38330078125,6054.6197558349695,5774.7811032870495,5985.277546519633,1082030,-0.03798519485865559,6018.4765625,6279.42138671875,78.91445429333835,289.3092091055245,279.83865254792,94.89424573838278
2020-03-11,5838.32958984375,5994.729908427647,5799.099178145007,5851.343314885052,937029,-0.008837066839198049,5999.912946428572,6242.083798363095,103.99151949536446,293.39691647543583,195.6307302826408,13.013725041301768
2020-03-12,5360.390625,5641.701450973059,5277.179873850076,5641.701450973059,1345964,-0.08186227884002362,5912.794154575893,6185.553850446428,264.5325710205568,341.9516443692084,364.5215771229832,281.31082597305885
2020-03-13,5546.04736328125,5759.67828328491,4562.38503398935,5058.3722139170395,1480205,0.034634927054639775,5838.505789620535,6131.4936290922615,286.4275749299911,349.3163520509915,1197.2932492955606,-487.6751493642105
2020-03-16,5205.65283203125,5402.993167938278,5129.423893612289,5356.068531007881,933412,-0.061376059191930454,5715.8203125,6060.792178199405,350.31747510293934,379.4923710867401,273.5692743259888,150.41569897663067
2020-03-17,5323.15478515625,5458.989528104906,5226.312976947587,5226.312976947587,1238640,0.02257199181666336,5612.417689732143,5997.416201636905,343.028983617497,386.52917901668656,232.6765511573185,-96.84180820866277
2020-03-18,5084.44677734375,5403.753348641776,5046.3559595209335,5386.845431772212,973395,-0.044843333971453014,5464.057896205357,5926.800688244048,308.2297012872604,411.8277236975703,357.3973891208425,302.39865442846167
2020-03-19,4578.0576171875,4841.225808298631,4419.4254517253385,4625.979914974391,2554559,-0.0995957244380481,5276.582798549107,5832.390299479167,393.11746562534915,480.73755660790226,421.80035657329245,47.92229778689125
2020-03-20,4824.6982421875,4963.192500011056,4571.456595261239,4625.030484699298,1614552,0.053874513084770204,5131.7783203125,5755.4082263764885,333.94357981672476,507.06837177535374,391.73590474981665,-199.66775748820237
2020-03-23,4008.882080078125,4549.988678483867,3933.507957745656,4345.761629240854,1531965,-0.16909164493974382,4938.705671037947,5640.68597702753,519.1022590648781,611.4426364834545,616.4807207382114,336.87954916272884
2020-03-24,4261.6494140625,4341.012821810465,3828.0703877234514,4123.4872340217125,1746431,0.06305182565495882,4755.220249720982,5537.95501999628,495.08852361962437,653.8954502718275,512.9424340870132,-138.16218004078746
2020-03-25,4755.119140625,4900.880007305386,4094.1357130492784,4216.576881847443,1728819,0.11579313045652206,4690.858293805803,5471.71355329241,454.3840421843836,659.6332663685045,806.7442942561079,-538.5422587775574
2020-03-26,4633.580078125,4863.454284542846,4511.993721011429,4772.692154270452,1338787,-0.02555962509154397,4592.347621372768,5402.21076311384,359.24472153068314,667.7265934308638,351.4605635314165,139.1120761454522
2020-03-27,4413.2998046875,4879.127433826232,4326.764423455365,4844.456324834768,1339426,-0.04753997335180138,4496.469482421875,5330.346830822173,288.64304320317797,689.7835565235039,552.3630103708665,431.15652014726766
